subj_idx,ss_presented,inhibited,ssd,rt
3,0,-999,-999.0,700.0
3,1,1,350.0,-999.0
3,0,-999,-999.0,517.0
3,0,-999,-999.0,530.0
3,0,-999,-999.0,497.0
3,1,0,400.0,949.0
3,0,-999,-999.0,489.0
3,1,1,350.0,-999.0
3,0,-999,-999.0,693.0
3,1,0,400.0,339.0
3,1,0,350.0,323.0
3,0,-999,-999.0,447.0
3,0,-999,-999.0,307.0
3,0,-999,-999.0,584.0
3,0,-999,-999.0,421.0
3,0,-999,-999.0,370.0
3,1,0,300.0,383.0
3,0,-999,-999.0,502.0
3,0,-999,-999.0,497.0
3,0,-999,-999.0,360.0
3,0,-999,-999.0,379.0
3,0,-999,-999.0,474.0
3,0,-999,-999.0,477.0
3,0,-999,-999.0,339.0
3,0,-999,-999.0,371.0
3,0,-999,-999.0,479.0
3,1,1,200.0,-999.0
3,0,-999,-999.0,421.0
3,0,-999,-999.0,418.0
3,0,-999,-999.0,367.0
3,0,-999,-999.0,395.0
3,0,-999,-999.0,491.0
3,0,-999,-999.0,429.0
3,0,-999,-999.0,250.0
3,0,-999,-999.0,617.0
3,0,-999,-999.0,442.0
3,0,-999,-999.0,460.0
3,0,-999,-999.0,765.0
3,0,-999,-999.0,493.0
3,1,1,250.0,-999.0
3,0,-999,-999.0,495.0
3,0,-999,-999.0,487.0
3,1,0,300.0,358.0
3,0,-999,-999.0,422.0
3,0,-999,-999.0,362.0
3,0,-999,-999.0,359.0
3,0,-999,-999.0,460.0
3,0,-999,-999.0,433.0
3,1,1,250.0,-999.0
3,0,-999,-999.0,341.0
3,0,-999,-999.0,487.0
3,0,-999,-999.0,440.0
3,1,1,250.0,-999.0
3,0,-999,-999.0,543.0
3,1,0,300.0,533.0
3,1,1,250.0,-999.0
3,0,-999,-999.0,571.0
3,0,-999,-999.0,528.0
3,0,-999,-999.0,496.0
3,0,-999,-999.0,473.0
3,0,-999,-999.0,427.0
3,0,-999,-999.0,462.0
3,0,-999,-999.0,841.0
3,0,-999,-999.0,389.0
